,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
58,1580342400000,9300.42000000,9403.99000000,9205.00000000,9341.99000000,53.14489400,1580385599999,495308.98829355,7727,28.75685900,268303.53736077,0
59,1580385600000,9343.78000000,9579.29000000,9213.95000000,9526.47000000,78.40212800,1580428799999,738574.53433994,5943,52.64949300,496246.29389913,0
60,1580428800000,9513.19000000,9534.33000000,9275.56000000,9329.12000000,43.80003600,1580471999999,411656.45721696,2623,26.16445400,245964.04682016,0
61,1580472000000,9331.76000000,9423.15000000,9213.32000000,9352.98000000,32.49888900,1580515199999,302582.89180778,3687,25.08366600,233550.25914033,0
62,1580515200000,9363.96000000,9462.65000000,9325.36000000,9351.07000000,34.68250000,1580558399999,326157.16238697,1388,21.04673800,197966.81684250,0
63,1580558400000,9355.83000000,9425.00000000,9301.63000000,9388.81000000,26.56319700,1580601599999,248685.38055988,1520,20.13919600,188530.67272208,0
64,1580601600000,9384.73000000,9449.66000000,9157.15000000,9438.87000000,38.66899600,1580644799999,360688.84444571,1475,23.33657100,218100.75867129,0
65,1580644800000,9446.96000000,9487.85000000,9324.61000000,9332.83000000,35.06471700,1580687999999,330627.87644717,1713,20.03539200,189004.91923084,0
66,1580688000000,9324.90000000,9600.00000000,9294.98000000,9347.65000000,71.17582200,1580731199999,669038.79703712,11830,57.32996700,538659.95104596,0
67,1580731200000,9349.01000000,9373.61000000,9241.58000000,9299.80000000,32.08550900,1580774399999,298626.83424868,3826,18.75388400,174615.10651672,0
68,1580774400000,9299.53000000,9356.66000000,9121.81000000,9189.12000000,42.83259800,1580817599999,396517.46961062,8069,32.20393400,298282.90768777,0
69,1580817600000,9192.10000000,9239.11000000,9100.00000000,9195.95000000,29.98598700,1580860799999,275352.41289053,2926,20.58902500,189102.37751603,0
70,1580860800000,9192.37000000,9422.86000000,9180.27000000,9412.36000000,22.69504400,1580903999999,210365.12023851,1346,13.02691500,120837.85937629,0
71,1580904000000,9427.27000000,9747.48000000,9412.78000000,9610.31000000,103.16410700,1580947199999,989681.29773279,6515,72.97566000,700197.58880546,0
72,1580947200000,9625.00000000,9700.17000000,9535.38000000,9698.14000000,26.18748800,1580990399999,251995.90011230,3181,14.15784800,136279.95535750,0
73,1580990400000,9705.04000000,9859.33000000,9653.68000000,9766.99000000,92.40652700,1581033599999,904230.56676746,4013,50.52420900,494306.07711918,0
74,1581033600000,9767.00000000,9880.32000000,9746.72000000,9813.58000000,53.09451000,1581076799999,520398.32427504,3899,35.51069200,348074.29794517,0
75,1581076800000,9829.02000000,9844.05000000,9730.59000000,9815.00000000,61.16928900,1581119999999,598800.36005549,8664,45.69411500,447261.71520386,0
76,1581120000000,9821.51000000,9850.00000000,9668.84000000,9812.09000000,32.07858200,1581163199999,313395.01155993,2724,19.89214200,194400.58211581,0
77,1581163200000,9816.46000000,9937.31000000,9747.52000000,9903.38000000,91.12369000,1581206399999,899098.48708754,11464,63.16217400,623120.09047143,0
78,1581206400000,9903.35000000,10174.27000000,9892.42000000,10108.25000000,107.59857200,1581249599999,1079109.25585083,13557,76.53088400,766321.42340619,0
79,1581249600000,10124.36000000,10165.00000000,10015.88000000,10153.53000000,24.72522800,1581292799999,249830.70504064,1307,15.35767900,155215.22057593,0
80,1581292800000,10165.00000000,10193.58000000,9767.62000000,9808.40000000,55.04482800,1581335999999,548728.46003766,2493,28.92303100,288288.76435206,0
81,1581336000000,9808.60000000,9925.40000000,9783.03000000,9850.16000000,9.59826800,1581379199999,94641.85447101,740,4.92384200,48593.50766241,0
82,1581379200000,9848.03000000,9848.03000000,9718.90000000,9792.60000000,49.99877400,1581422399999,488749.28164788,1761,26.50191600,259185.93411193,0
83,1581422400000,9807.69000000,10325.27000000,9807.62000000,10228.72000000,81.65229900,1581465599999,828242.26379592,3457,54.06481600,547554.21098390,0
84,1581465600000,10230.93000000,10450.00000000,10230.64000000,10332.95000000,63.48798300,1581508799999,654551.84933958,2442,28.92596400,298435.41369091,0
85,1581508800000,10332.95000000,10428.60000000,10257.05000000,10348.98000000,36.52265800,1581551999999,378143.85333765,1796,18.72266200,193890.74599628,0
86,1581552000000,10318.09000000,10489.17000000,10101.26000000,10155.86000000,100.26119900,1581595199999,1032906.20653722,3325,62.38908700,642957.77298523,0
87,1581595200000,10151.14000000,10490.00000000,10116.94000000,10217.13000000,54.26334800,1581638399999,556693.18567004,2500,25.60775800,262731.40383448,0
88,1581638400000,10237.42000000,10299.63000000,10116.94000000,10258.79000000,25.38633100,1581681599999,259177.59516375,1447,15.81174600,161371.57489744,0
89,1581681600000,10274.49000000,10376.60000000,10230.29000000,10344.17000000,29.03504000,1581724799999,299666.70526818,1396,16.89280600,174335.30539706,0
90,1581724800000,10350.58000000,10373.47000000,10201.01000000,10243.39000000,19.17068400,1581767999999,196963.53109179,1060,8.84670900,90825.17643523,0
91,1581768000000,10221.54000000,10262.71000000,9800.00000000,9898.96000000,58.24443200,1581811199999,580249.20155976,3627,31.58580900,314297.59142347,0
92,1581811200000,9908.62000000,10047.63000000,9865.25000000,9920.29000000,17.96197000,1581854399999,178981.41531479,2674,8.64243800,86144.56780728,0
